shift_val,model,mean,std
0.5,lstm,0.5198999999999999,0.009643132271207326
0.5,catch22,0.5524000000000001,0.03671838776417069
0.5,rocket,0.5639000000000001,0.027672910941930175
0.45,lstm,0.5110999999999999,0.011215614116043767
0.45,catch22,0.6125,0.03553519382246283
0.45,rocket,0.5468000000000001,0.041033644732097585
0.4,lstm,0.5021,0.010324243313676805
0.4,catch22,0.6221,0.022860227470434334
0.4,rocket,0.5026999999999999,0.03537951384629247
0.35,lstm,0.5146999999999999,0.010242558274181317
0.35,catch22,0.5975,0.038661996844446614
0.35,rocket,0.5064000000000001,0.04412527620310156
0.3,lstm,0.5081,0.013542156401400787
0.3,catch22,0.6217,0.0364157932770934
0.3,rocket,0.5309000000000001,0.03538629678279434
0.25,lstm,0.49879999999999997,0.008975522268926759
0.25,catch22,0.5937,0.0594921003159243
0.25,rocket,0.5125000000000001,0.059268457040823994
0.2,lstm,0.4966,0.01258729518204766
0.2,catch22,0.5811,0.06999849998392822
0.2,rocket,0.4468,0.039971990193133994
0.15,lstm,0.4892999999999999,0.01745021489839022
0.15,catch22,0.5517,0.08995615598723637
0.15,rocket,0.4616,0.026446927987953534
0.1,lstm,0.4963000000000001,0.01230081298126267
0.1,catch22,0.33554216867469877,0.19362896460149304
0.1,rocket,0.5495,0.027179955849853766
0.05,lstm,0.48269999999999996,0.010474254150057647
0.05,catch22,0.18314814814814812,0.06773652863400559
0.05,rocket,0.5491999999999999,0.03604663645889863
0.0,lstm,0.49140000000000006,0.013343163043296741
0.0,catch22,0.1905,0.0822481002820126
0.0,rocket,0.5419999999999999,0.03264965543462902
