dataset,df_size,n_variates,ts_length,n_classes,class,class_perc,model,mean,std,model_acc
ECG200,160,1,96,2,-1,0.338,lstm,0.3952631578947368,0.2064835515572897,0.9
ECG200,160,1,96,2,-1,0.338,catch22,0.3404,0.14426309299332243,0.8
ECG200,160,1,96,2,-1,0.338,rocket,0.41368421052631577,0.1614477437476871,0.9
ECG200,160,1,96,2,1,0.662,lstm,0.5721052631578947,0.22790993020947692,0.9
ECG200,160,1,96,2,1,0.662,catch22,0.6367999999999999,0.18901259217311425,0.8
ECG200,160,1,96,2,1,0.662,rocket,0.6063157894736841,0.1614477437476871,0.9
EOGHorizontalSignal,579,1,1250,12,1,0.093,lstm,0.0,0.0,0.2482758620689655
EOGHorizontalSignal,579,1,1250,12,1,0.093,catch22,0.31920000000000004,0.28076922908324553,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,1,0.093,rocket,0.4788888888888888,0.2013166537118288,0.8689655172413793
EOGHorizontalSignal,579,1,1250,12,10,0.079,lstm,0.0,0.0,0.2482758620689655
EOGHorizontalSignal,579,1,1250,12,10,0.079,catch22,0.396875,0.13609366030421843,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,10,0.079,rocket,0.2929166666666667,0.07259930937841091,0.8689655172413793
EOGHorizontalSignal,579,1,1250,12,11,0.083,lstm,0.0,0.0,0.2482758620689655
EOGHorizontalSignal,579,1,1250,12,11,0.083,catch22,0.3809090909090909,0.22141916421347033,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,11,0.083,rocket,0.4327272727272727,0.1428343547349936,0.8689655172413793
EOGHorizontalSignal,579,1,1250,12,12,0.079,lstm,0.0,0.0,0.2482758620689655
EOGHorizontalSignal,579,1,1250,12,12,0.079,catch22,0.32181818181818184,0.22666828714377804,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,12,0.079,rocket,0.5037499999999999,0.26504421800899564,0.8689655172413793
EOGHorizontalSignal,579,1,1250,12,2,0.085,lstm,0.0,0.0,0.2482758620689655
EOGHorizontalSignal,579,1,1250,12,2,0.085,catch22,0.23666666666666666,0.04921607686744466,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,2,0.085,rocket,0.5133333333333333,0.12552113589175157,0.8689655172413793
EOGHorizontalSignal,579,1,1250,12,3,0.088,lstm,0.0,0.0,0.2482758620689655
EOGHorizontalSignal,579,1,1250,12,3,0.088,catch22,0.315609756097561,0.23739489361520533,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,3,0.088,rocket,0.4718181818181818,0.118461208212814,0.8689655172413793
EOGHorizontalSignal,579,1,1250,12,4,0.085,lstm,0.0,0.0,0.2482758620689655
EOGHorizontalSignal,579,1,1250,12,4,0.085,catch22,0.1881818181818182,0.1449650855656556,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,4,0.085,rocket,0.413,0.19987746246137908,0.8689655172413793
EOGHorizontalSignal,579,1,1250,12,5,0.092,lstm,0.0,0.0,0.2482758620689655
EOGHorizontalSignal,579,1,1250,12,5,0.092,catch22,0.41125,0.17127737007555902,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,5,0.092,rocket,0.29090909090909095,0.11587254325763174,0.8689655172413793
EOGHorizontalSignal,579,1,1250,12,6,0.088,lstm,0.5331428571428573,0.19522545835990945,0.2482758620689655
EOGHorizontalSignal,579,1,1250,12,6,0.088,catch22,0.11230769230769232,0.11307953947784148,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,6,0.088,rocket,0.23666666666666666,0.08928730157319249,0.8689655172413793
EOGHorizontalSignal,579,1,1250,12,7,0.079,lstm,0.0,0.0,0.2482758620689655
EOGHorizontalSignal,579,1,1250,12,7,0.079,catch22,0.4942857142857143,0.15012919606193886,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,7,0.079,rocket,0.47388888888888897,0.12640933900489443,0.8689655172413793
EOGHorizontalSignal,579,1,1250,12,8,0.067,lstm,0.0,0.0,0.2482758620689655
EOGHorizontalSignal,579,1,1250,12,8,0.067,catch22,0.29881355932203396,0.29003848222619877,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,8,0.067,rocket,0.3124324324324324,0.1679511738154133,0.8689655172413793
EOGHorizontalSignal,579,1,1250,12,9,0.081,lstm,0.0,0.0,0.2482758620689655
EOGHorizontalSignal,579,1,1250,12,9,0.081,catch22,0.365,0.16748134224444228,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,9,0.081,rocket,0.44904761904761903,0.1376989387483662,0.8689655172413793
EOGVerticalSignal,579,1,1250,12,1,0.093,lstm,0.0,0.0,0.1310344827586207
EOGVerticalSignal,579,1,1250,12,1,0.093,catch22,0.51125,0.14793896545535257,0.6551724137931034
EOGVerticalSignal,579,1,1250,12,1,0.093,rocket,0.5025000000000001,0.22106277389013285,0.7862068965517242
EOGVerticalSignal,579,1,1250,12,10,0.079,lstm,0.0,0.0,0.1310344827586207
EOGVerticalSignal,579,1,1250,12,10,0.079,catch22,0.2747058823529412,0.15061121148248377,0.6551724137931034
EOGVerticalSignal,579,1,1250,12,10,0.079,rocket,0.283448275862069,0.13889405195846632,0.7862068965517242
EOGVerticalSignal,579,1,1250,12,11,0.083,lstm,0.0,0.0,0.1310344827586207
EOGVerticalSignal,579,1,1250,12,11,0.083,catch22,0.22333333333333336,0.08768630958643939,0.6551724137931034
EOGVerticalSignal,579,1,1250,12,11,0.083,rocket,0.333076923076923,0.15759659384178498,0.7862068965517242
EOGVerticalSignal,579,1,1250,12,12,0.079,lstm,0.0,0.0,0.1310344827586207
EOGVerticalSignal,579,1,1250,12,12,0.079,catch22,0.2414285714285714,0.1735699588415141,0.6551724137931034
EOGVerticalSignal,579,1,1250,12,12,0.079,rocket,0.209,0.17297109585130113,0.7862068965517242
EOGVerticalSignal,579,1,1250,12,2,0.085,lstm,0.0,0.0,0.1310344827586207
EOGVerticalSignal,579,1,1250,12,2,0.085,catch22,0.5366666666666666,0.2530919903030429,0.6551724137931034
EOGVerticalSignal,579,1,1250,12,2,0.085,rocket,0.3975,0.10182705927208151,0.7862068965517242
EOGVerticalSignal,579,1,1250,12,3,0.088,lstm,0.0,0.0,0.1310344827586207
EOGVerticalSignal,579,1,1250,12,3,0.088,catch22,0.03333333333333333,0.012472191289246473,0.6551724137931034
EOGVerticalSignal,579,1,1250,12,3,0.088,rocket,0.04,0.0,0.7862068965517242
EOGVerticalSignal,579,1,1250,12,4,0.085,lstm,0.0,0.0,0.1310344827586207
EOGVerticalSignal,579,1,1250,12,4,0.085,catch22,0.3528571428571428,0.28659151047710923,0.6551724137931034
EOGVerticalSignal,579,1,1250,12,4,0.085,rocket,0.6033333333333334,0.08409650541028575,0.7862068965517242
EOGVerticalSignal,579,1,1250,12,5,0.092,lstm,0.0,0.0,0.1310344827586207
EOGVerticalSignal,579,1,1250,12,5,0.092,catch22,0.3327272727272728,0.18630819574471996,0.6551724137931034
EOGVerticalSignal,579,1,1250,12,5,0.092,rocket,0.2673076923076923,0.15024486916383925,0.7862068965517242
EOGVerticalSignal,579,1,1250,12,6,0.088,lstm,0.0,0.0,0.1310344827586207
EOGVerticalSignal,579,1,1250,12,6,0.088,catch22,0.30592592592592593,0.22805553675884496,0.6551724137931034
EOGVerticalSignal,579,1,1250,12,6,0.088,rocket,0.5044827586206898,0.19605745475447703,0.7862068965517242
EOGVerticalSignal,579,1,1250,12,7,0.079,lstm,0.0,0.0,0.1310344827586207
EOGVerticalSignal,579,1,1250,12,7,0.079,catch22,0.0,0.0,0.6551724137931034
EOGVerticalSignal,579,1,1250,12,7,0.079,rocket,0.2833333333333334,0.14007934259633795,0.7862068965517242
EOGVerticalSignal,579,1,1250,12,8,0.067,lstm,0.0,0.0,0.1310344827586207
EOGVerticalSignal,579,1,1250,12,8,0.067,catch22,0.3125,0.043229041164476456,0.6551724137931034
EOGVerticalSignal,579,1,1250,12,8,0.067,rocket,0.3564285714285714,0.09543937064643582,0.7862068965517242
EOGVerticalSignal,579,1,1250,12,9,0.081,lstm,0.0,0.0,0.1310344827586207
EOGVerticalSignal,579,1,1250,12,9,0.081,catch22,0.42857142857142866,0.27325699946223164,0.6551724137931034
EOGVerticalSignal,579,1,1250,12,9,0.081,rocket,0.3,0.12682008253164534,0.7862068965517242
Epilepsy,220,3,206,4,epilepsy,0.245,lstm,0.68,0.0,0.7454545454545455
Epilepsy,220,3,206,4,epilepsy,0.245,catch22,0.524,0.14372195378577343,0.9818181818181818
Epilepsy,220,3,206,4,epilepsy,0.245,rocket,0.4576666666666667,0.1846561368839089,0.9818181818181818
Epilepsy,220,3,206,4,running,0.264,lstm,0.36500000000000005,0.037749172176353735,0.7454545454545455
Epilepsy,220,3,206,4,running,0.264,catch22,0.336,0.1581686863235999,0.9818181818181818
Epilepsy,220,3,206,4,running,0.264,rocket,0.3036666666666667,0.07951869102432599,0.9818181818181818
Epilepsy,220,3,206,4,sawing,0.214,lstm,0.34,0.0,0.7454545454545455
Epilepsy,220,3,206,4,sawing,0.214,catch22,0.41192307692307695,0.1969189452691568,0.9818181818181818
Epilepsy,220,3,206,4,sawing,0.214,rocket,0.551290322580645,0.1893237870896324,0.9818181818181818
Epilepsy,220,3,206,4,walking,0.277,lstm,0.40258064516129033,0.1308524838458026,0.7454545454545455
Epilepsy,220,3,206,4,walking,0.277,catch22,0.3313793103448276,0.13895482118501273,0.9818181818181818
Epilepsy,220,3,206,4,walking,0.277,rocket,0.5120689655172415,0.13481479787662798,0.9818181818181818
CinCECGTorso,1136,1,1639,4,1,0.246,lstm,0.7008403361344541,0.11840380864823574,0.9894366197183099
CinCECGTorso,1136,1,1639,4,1,0.246,catch22,0.6289743589743587,0.16482253919900608,0.9823943661971831
CinCECGTorso,1136,1,1639,4,1,0.246,rocket,0.5490756302521008,0.0539216923131471,1.0
CinCECGTorso,1136,1,1639,4,2,0.251,lstm,0.5815714285714286,0.0854840956684043,0.9894366197183099
CinCECGTorso,1136,1,1639,4,2,0.251,catch22,0.41985714285714293,0.1601828674372143,0.9823943661971831
CinCECGTorso,1136,1,1639,4,2,0.251,rocket,0.3905714285714287,0.05595625113261544,1.0
CinCECGTorso,1136,1,1639,4,3,0.259,lstm,0.4076470588235294,0.06812872001842893,0.9894366197183099
CinCECGTorso,1136,1,1639,4,3,0.259,catch22,0.31470588235294117,0.15860115150753346,0.9823943661971831
CinCECGTorso,1136,1,1639,4,3,0.259,rocket,0.4882352941176471,0.06317438927451229,1.0
CinCECGTorso,1136,1,1639,4,4,0.245,lstm,0.4472222222222223,0.08750908242104267,0.9894366197183099
CinCECGTorso,1136,1,1639,4,4,0.245,catch22,0.5102222222222221,0.14421417543037068,0.9823943661971831
CinCECGTorso,1136,1,1639,4,4,0.245,rocket,0.422,0.09892982922815095,1.0
ECG5000,4000,1,140,5,1,0.583,lstm,0.2909298780487805,0.1447260488967118,0.953
ECG5000,4000,1,140,5,1,0.583,catch22,0.2233088235294118,0.177548896111411,0.952
ECG5000,4000,1,140,5,1,0.583,rocket,0.44299843014128726,0.15150201929337057,0.942
ECG5000,4000,1,140,5,2,0.353,lstm,0.2725,0.3204098937298909,0.953
ECG5000,4000,1,140,5,2,0.353,catch22,0.15,0.0,0.952
ECG5000,4000,1,140,5,2,0.353,rocket,0.46384615384615374,0.21590139468932767,0.942
ECG5000,4000,1,140,5,3,0.019,lstm,0.7787366548042705,0.14396645408558525,0.953
ECG5000,4000,1,140,5,3,0.019,catch22,0.6160227272727273,0.161980216052955,0.952
ECG5000,4000,1,140,5,3,0.019,rocket,0.5988649706457927,0.20212153482368114,0.942
ECG5000,4000,1,140,5,4,0.039,lstm,0.7475,0.320409893729891,0.953
ECG5000,4000,1,140,5,4,0.039,catch22,0.46,0.0,0.952
ECG5000,4000,1,140,5,4,0.039,rocket,0.4534693877551021,0.23406392830224443,0.942
ECG5000,4000,1,140,5,5,0.005,lstm,0.0,0.0,0.953
ECG5000,4000,1,140,5,5,0.005,catch22,0.0,0.0,0.952
ECG5000,4000,1,140,5,5,0.005,rocket,0.4797826086956522,0.12720215219731734,0.942
ECGFiveDays,707,1,136,2,1,0.504,lstm,0.45994350282485874,0.12992608578927167,1.0
ECGFiveDays,707,1,136,2,1,0.504,catch22,0.5571084337349399,0.15743447763482188,0.9887005649717514
ECGFiveDays,707,1,136,2,1,0.504,rocket,0.5230508474576272,0.05226791814912277,1.0
ECGFiveDays,707,1,136,2,2,0.496,lstm,0.5600564971751412,0.12992608578927164,1.0
ECGFiveDays,707,1,136,2,2,0.496,catch22,0.4025301204819278,0.11033184745410586,0.9887005649717514
ECGFiveDays,707,1,136,2,2,0.496,rocket,0.49694915254237293,0.05226791814912278,1.0
StandWalkJump,21,4,2500,3,jumping,0.286,lstm,0.375,0.16874537030686207,0.6666666666666666
StandWalkJump,21,4,2500,3,jumping,0.286,catch22,0.34,0.0,0.5
StandWalkJump,21,4,2500,3,jumping,0.286,rocket,0.0,0.0,0.16666666666666666
StandWalkJump,21,4,2500,3,standing,0.333,lstm,0.502,0.12983065893693987,0.6666666666666666
StandWalkJump,21,4,2500,3,standing,0.333,catch22,0.64,0.0,0.5
StandWalkJump,21,4,2500,3,standing,0.333,rocket,0.0,0.0,0.16666666666666666
StandWalkJump,21,4,2500,3,walking,0.381,lstm,0.0,0.0,0.6666666666666666
StandWalkJump,21,4,2500,3,walking,0.381,catch22,0.68,0.0,0.5
StandWalkJump,21,4,2500,3,walking,0.381,rocket,0.0,0.0,0.16666666666666666
TwoLeadECG,929,1,82,2,1,0.502,lstm,0.3872272727272727,0.1619765504403708,0.9914163090128756
TwoLeadECG,929,1,82,2,1,0.502,catch22,0.2830303030303031,0.1807054333084119,0.9699570815450643
TwoLeadECG,929,1,82,2,1,0.502,rocket,0.5321459227467811,0.141829357642854,1.0
TwoLeadECG,929,1,82,2,2,0.498,lstm,0.6100454545454546,0.17691933890713826,0.9914163090128756
TwoLeadECG,929,1,82,2,2,0.498,catch22,0.656969696969697,0.20951581770741118,0.9699570815450643
TwoLeadECG,929,1,82,2,2,0.498,rocket,0.4261802575107297,0.12578509551616576,1.0
NerveDamage,163,1,1500,3,0,0.166,lstm,0.5742857142857142,0.15564218514245542,0.3902439024390244
NerveDamage,163,1,1500,3,0,0.166,catch22,0.7636585365853659,0.14664967543494764,1.0
NerveDamage,163,1,1500,3,0,0.166,rocket,0.5795121951219513,0.07268210836009949,1.0
NerveDamage,163,1,1500,3,1,0.356,lstm,0.44571428571428573,0.1556421851424554,0.3902439024390244
NerveDamage,163,1,1500,3,1,0.356,catch22,0.2529268292682927,0.14485053528680275,1.0
NerveDamage,163,1,1500,3,1,0.356,rocket,0.4404878048780487,0.07268210836009949,1.0
NerveDamage,163,1,1500,3,2,0.479,lstm,0.0,0.0,0.3902439024390244
NerveDamage,163,1,1500,3,2,0.479,catch22,0.429,0.06086049621881175,1.0
NerveDamage,163,1,1500,3,2,0.479,rocket,0.231,0.02467792535850613,1.0
MedicalImages,912,1,99,10,1,0.098,lstm,0.5717699115044248,0.291924435878232,0.7161572052401747
MedicalImages,912,1,99,10,1,0.098,catch22,0.4074285714285714,0.22677460415230666,0.7685589519650655
MedicalImages,912,1,99,10,1,0.098,rocket,0.42545454545454553,0.2519480575266657,0.8253275109170306
MedicalImages,912,1,99,10,10,0.508,lstm,0.41219780219780217,0.2711384310391621,0.7161572052401747
MedicalImages,912,1,99,10,10,0.508,catch22,0.4770491803278688,0.22125828140318743,0.7685589519650655
MedicalImages,912,1,99,10,10,0.508,rocket,0.4279487179487179,0.23283844390455544,0.8253275109170306
MedicalImages,912,1,99,10,2,0.054,lstm,0.5853846153846154,0.2222824047369051,0.7161572052401747
MedicalImages,912,1,99,10,2,0.054,catch22,0.42000000000000004,0.17902513789968155,0.7685589519650655
MedicalImages,912,1,99,10,2,0.054,rocket,0.4355263157894737,0.24087228946849615,0.8253275109170306
MedicalImages,912,1,99,10,3,0.068,lstm,0.4856164383561643,0.20429622798983915,0.7161572052401747
MedicalImages,912,1,99,10,3,0.068,catch22,0.5153448275862069,0.17557016003277945,0.7685589519650655
MedicalImages,912,1,99,10,3,0.068,rocket,0.48461538461538456,0.19226988639374357,0.8253275109170306
MedicalImages,912,1,99,10,4,0.049,lstm,0.7972,0.14668387777802988,0.7161572052401747
MedicalImages,912,1,99,10,4,0.049,catch22,0.44140350877192985,0.29234345696422526,0.7685589519650655
MedicalImages,912,1,99,10,4,0.049,rocket,0.4578947368421053,0.2548596919951802,0.8253275109170306
MedicalImages,912,1,99,10,5,0.038,lstm,0.38160000000000005,0.22962020816992568,0.7161572052401747
MedicalImages,912,1,99,10,5,0.038,catch22,0.2585365853658536,0.2085789430665984,0.7685589519650655
MedicalImages,912,1,99,10,5,0.038,rocket,0.3713043478260869,0.25898303365322384,0.8253275109170306
MedicalImages,912,1,99,10,6,0.021,lstm,0.0,0.0,0.7161572052401747
MedicalImages,912,1,99,10,6,0.021,catch22,0.36,0.08152394645841089,0.7685589519650655
MedicalImages,912,1,99,10,6,0.021,rocket,0.385,0.20402205763103168,0.8253275109170306
MedicalImages,912,1,99,10,7,0.044,lstm,0.7221238938053097,0.2775156898296967,0.7161572052401747
MedicalImages,912,1,99,10,7,0.044,catch22,0.4257831325301205,0.292418747779341,0.7685589519650655
MedicalImages,912,1,99,10,7,0.044,rocket,0.35,0.26226459168058264,0.8253275109170306
MedicalImages,912,1,99,10,8,0.021,lstm,0.0,0.0,0.7161572052401747
MedicalImages,912,1,99,10,8,0.021,catch22,0.25870967741935486,0.13999405368671156,0.7685589519650655
MedicalImages,912,1,99,10,8,0.021,rocket,0.2336734693877551,0.1807771644143077,0.8253275109170306
MedicalImages,912,1,99,10,9,0.1,lstm,0.0,0.0,0.7161572052401747
MedicalImages,912,1,99,10,9,0.1,catch22,0.3885714285714285,0.04257046978786098,0.7685589519650655
MedicalImages,912,1,99,10,9,0.1,rocket,0.47041666666666665,0.24066711391925202,0.8253275109170306
Colposcopy,160,1,180,6,0,0.087,lstm,0.0,0.0,0.4
Colposcopy,160,1,180,6,0,0.087,catch22,0.0,0.0,0.4
Colposcopy,160,1,180,6,0,0.087,rocket,0.0,0.0,0.325
Colposcopy,160,1,180,6,1,0.119,lstm,0.0,0.0,0.4
Colposcopy,160,1,180,6,1,0.119,catch22,0.0,0.0,0.4
Colposcopy,160,1,180,6,1,0.119,rocket,0.0,0.0,0.325
Colposcopy,160,1,180,6,2,0.106,lstm,0.0,0.0,0.4
Colposcopy,160,1,180,6,2,0.106,catch22,0.30833333333333335,0.27637032321788013,0.4
Colposcopy,160,1,180,6,2,0.106,rocket,0.0,0.0,0.325
Colposcopy,160,1,180,6,3,0.25,lstm,0.0,0.0,0.4
Colposcopy,160,1,180,6,3,0.25,catch22,0.0,0.0,0.4
Colposcopy,160,1,180,6,3,0.25,rocket,0.23,0.0,0.325
Colposcopy,160,1,180,6,4,0.156,lstm,0.0,0.0,0.4
Colposcopy,160,1,180,6,4,0.156,catch22,0.8300000000000001,0.0,0.4
Colposcopy,160,1,180,6,4,0.156,rocket,0.42,0.0,0.325
Colposcopy,160,1,180,6,5,0.281,lstm,0.0,0.0,0.4
Colposcopy,160,1,180,6,5,0.281,catch22,0.12,0.0668331255192114,0.4
Colposcopy,160,1,180,6,5,0.281,rocket,0.63,0.1284523257866513,0.325
EyesOpenShut,78,14,128,2,0,0.551,lstm,0.0,0.0,0.55
EyesOpenShut,78,14,128,2,0,0.551,catch22,0.22250000000000003,0.13718144918318947,0.55
EyesOpenShut,78,14,128,2,0,0.551,rocket,0.4633333333333333,0.29124254878403705,0.6
EyesOpenShut,78,14,128,2,1,0.449,lstm,0.0,0.0,0.55
EyesOpenShut,78,14,128,2,1,0.449,catch22,0.47750000000000004,0.3349906715119094,0.55
EyesOpenShut,78,14,128,2,1,0.449,rocket,0.5566666666666668,0.29124254878403705,0.6
ToeSegmentation1,214,1,277,2,0,0.505,lstm,0.488529411764706,0.22877078630008654,0.7777777777777778
ToeSegmentation1,214,1,277,2,0,0.505,catch22,0.43711538461538463,0.2242023171023949,0.9444444444444444
ToeSegmentation1,214,1,277,2,0,0.505,rocket,0.551764705882353,0.1256778621270869,0.9444444444444444
ToeSegmentation1,214,1,277,2,1,0.495,lstm,0.531470588235294,0.22877078630008654,0.7777777777777778
ToeSegmentation1,214,1,277,2,1,0.495,catch22,0.4686538461538462,0.1860834060943335,0.9444444444444444
ToeSegmentation1,214,1,277,2,1,0.495,rocket,0.4682352941176472,0.1256778621270869,0.9444444444444444
Heartbeat,327,61,405,2,abnormal,0.734,lstm,0.0,0.0,0.6219512195121951
Heartbeat,327,61,405,2,abnormal,0.734,catch22,0.0,0.0,0.6951219512195121
Heartbeat,327,61,405,2,abnormal,0.734,rocket,0.6000000000000001,0.1380217374184226,0.5975609756097561
Heartbeat,327,61,405,2,normal,0.266,lstm,0.0,0.0,0.6219512195121951
Heartbeat,327,61,405,2,normal,0.266,catch22,0.0,0.0,0.6951219512195121
Heartbeat,327,61,405,2,normal,0.266,rocket,0.42000000000000004,0.1380217374184226,0.5975609756097561
EMOPain,1058,30,200,3,0,0.773,lstm,0.23095238095238094,0.14934475175004794,0.8226415094339623
EMOPain,1058,30,200,3,0,0.773,catch22,0.14,0.023979157616563596,0.9169811320754717
EMOPain,1058,30,200,3,0,0.773,rocket,0.40029411764705886,0.3698660485729483,0.7849056603773585
EMOPain,1058,30,200,3,1,0.144,lstm,0.4255789473684212,0.11311583061505615,0.8226415094339623
EMOPain,1058,30,200,3,1,0.144,catch22,0.7025423728813561,0.1735627978995165,0.9169811320754717
EMOPain,1058,30,200,3,1,0.144,rocket,0.264,0.2857583702253464,0.7849056603773585
EMOPain,1058,30,200,3,2,0.083,lstm,0.8373333333333333,0.13719410418171119,0.8226415094339623
EMOPain,1058,30,200,3,2,0.083,catch22,0.8122916666666665,0.0758628033396839,0.9169811320754717
EMOPain,1058,30,200,3,2,0.083,rocket,0.02666666666666667,0.01699673171197595,0.7849056603773585
HandMovementDirection,187,10,400,4,backward,0.225,lstm,0.02,0.0,0.3829787234042553
HandMovementDirection,187,10,400,4,backward,0.225,catch22,0.09,0.0,0.2553191489361702
HandMovementDirection,187,10,400,4,backward,0.225,rocket,0.0,0.0,0.46808510638297873
HandMovementDirection,187,10,400,4,forward,0.31,lstm,0.22705882352941179,0.2002282434647242,0.3829787234042553
HandMovementDirection,187,10,400,4,forward,0.31,catch22,0.0,0.0,0.2553191489361702
