shift_val,model,mean,std
0.5,lstm,0.51475,0.016276900810658045
0.5,catch22,0.56325,0.03737562708504032
0.5,rocket,0.51475,0.05647953169069304
0.45,lstm,0.49725,0.0148302899499639
0.45,catch22,0.60075,0.04361120842168902
0.45,rocket,0.5685,0.03650684867254361
0.4,lstm,0.50775,0.011065147988165373
0.4,catch22,0.5900000000000001,0.031543620591175
0.4,rocket,0.4897500000000001,0.04435580570793412
0.35,lstm,0.4875,0.012399596767637246
0.35,catch22,0.6174999999999999,0.018405162319305977
0.35,rocket,0.49074999999999996,0.03608237104182596
0.3,lstm,0.4875,0.011989578808281796
0.3,catch22,0.60175,0.04689816094475348
0.3,rocket,0.523,0.028301943396169826
0.25,lstm,0.4847499999999999,0.012447389284504598
0.25,catch22,0.608,0.03627671429443411
0.25,rocket,0.5494999999999999,0.027290108097990366
0.2,lstm,0.48925,0.006475916923494315
0.2,catch22,0.58075,0.07387108703681028
0.2,rocket,0.476,0.03611094017053558
0.15,lstm,0.4795,0.009473647660748197
0.15,catch22,0.5126923076923077,0.09221870710885292
0.15,rocket,0.466,0.030397368307141334
0.1,lstm,0.48175,0.013944084767384334
0.1,catch22,0.45299999999999996,0.12163880959627975
0.1,rocket,0.4800000000000001,0.053805204209258425
0.05,lstm,0.45500000000000007,0.016431676725154987
0.05,catch22,0.17307692307692307,0.10696641807436925
0.05,rocket,0.542,0.033181320046074124
0.0,lstm,0.46675000000000005,0.00905193349511583
0.0,catch22,0.09499999999999999,0.09343587725223505
0.0,rocket,0.58225,0.02504870256121061
