Dataset,class,model,f1_name,f1,f2_name,f2,f3_name,f3,f4_name,f4,f5_name,f5
EOGHorizontalSignal,1,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGHorizontalSignal,1,catch22,0_MFCC_1,6.395057249226118,0_MFCC_2,5.783851514669276,0_MFCC_3,-2.2601146473138565,0_Histogram mode,-1.3352779158425272,0_Median absolute diff,1.1749204627275178
EOGHorizontalSignal,1,rocket,0_MFCC_2,122.89342377382617,0_MFCC_1,6.551053603656929,0_MFCC_6,-2.7247086446155797,0_Median absolute diff,2.3517106379584316,0_MFCC_3,-1.4459713971225725
EOGHorizontalSignal,10,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGHorizontalSignal,10,catch22,0_Median,-3.27100314879301,0_Median diff,2.380981584245159,0_MFCC_4,2.165294877329997,0_Histogram mode,-2.154805629755635,0_Spectral decrease,-1.6793979650987203
EOGHorizontalSignal,10,rocket,0_Histogram mode,-2.45768203725305,0_Median,-2.3934140045177372,0_Median diff,1.9165460320647305,0_Spectral decrease,-1.8881239430436143,0_Kurtosis,-1.7336218428882493
EOGHorizontalSignal,11,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGHorizontalSignal,11,catch22,0_MFCC_9,-8.74838475073936,0_Median absolute diff,8.182442293745273,0_MFCC_5,-6.492719778817065,0_MFCC_7,-4.310089817833568,0_Spectrogram mean coefficient_0.0Hz,3.3300084771851477
EOGHorizontalSignal,11,rocket,0_MFCC_9,-10.426511533947698,0_Median absolute diff,7.336085112955922,0_MFCC_7,-5.065146018297837,0_Spectrogram mean coefficient_0.0Hz,3.226068683416536,0_MFCC_11,-2.3987632315856433
EOGHorizontalSignal,12,lstm,None,0.0,None,0.0,None,0.0,None,0.0,None,0.0
EOGHorizontalSignal,12,catch22,0_MFCC_6,-18.923983082667004,0_Histogram mode,3.465471640281409,0_Median diff,-0.9383439322373551,0_Kurtosis,-0.8949412449617924,0_ECDF Percentile_0,0.8304406052273715
