dataset,df_size,n_variates,ts_length,n_classes,class,class_perc,model,mean,std,model_acc
ECG200,160,1,96,2,-1,0.338,lstm,0.4055172413793104,0.1600557275127366,0.875
ECG200,160,1,96,2,-1,0.338,catch22,0.2542307692307692,0.1802599208178413,0.825
ECG200,160,1,96,2,-1,0.338,rocket,0.4402941176470588,0.1400101948833736,0.95
ECG200,160,1,96,2,1,0.662,lstm,0.6144827586206897,0.1600557275127366,0.875
ECG200,160,1,96,2,1,0.662,catch22,0.6900000000000001,0.2070117053546638,0.825
ECG200,160,1,96,2,1,0.662,rocket,0.5797058823529411,0.1400101948833736,0.95
NerveDamage,163,1,1500,3,0,0.166,lstm,0.0,0.0,0.4146341463414634
NerveDamage,163,1,1500,3,0,0.166,catch22,0.7957142857142857,0.1596296734728891,1.0
NerveDamage,163,1,1500,3,0,0.166,rocket,0.3304761904761905,0.111461126705412,1.0
NerveDamage,163,1,1500,3,1,0.356,lstm,0.0,0.0,0.4146341463414634
NerveDamage,163,1,1500,3,1,0.356,catch22,0.2205128205128205,0.1391355862965905,1.0
NerveDamage,163,1,1500,3,1,0.356,rocket,0.6523076923076923,0.0986696518552622,1.0
NerveDamage,163,1,1500,3,2,0.479,lstm,0.0,0.0,0.4146341463414634
NerveDamage,163,1,1500,3,2,0.479,catch22,0.4759523809523809,0.095120463068317,1.0
NerveDamage,163,1,1500,3,2,0.479,rocket,0.490952380952381,0.0607418238201466,1.0
ECGFiveDays,707,1,136,2,1,0.504,lstm,0.441992337164751,0.1346500689385767,1.0
ECGFiveDays,707,1,136,2,1,0.504,catch22,0.6442513368983958,0.1268872544128735,0.9887005649717514
ECGFiveDays,707,1,136,2,1,0.504,rocket,0.5308301404853129,0.0612321379974197,1.0
ECGFiveDays,707,1,136,2,2,0.496,lstm,0.5780076628352491,0.1346500689385767,1.0
ECGFiveDays,707,1,136,2,2,0.496,catch22,0.3456149732620321,0.1042583760359923,0.9887005649717514
ECGFiveDays,707,1,136,2,2,0.496,rocket,0.489169859514687,0.0612321379974197,1.0
MedicalImages,912,1,99,10,1,0.098,lstm,0.5289506172839507,0.2199876764918002,0.6855895196506551
MedicalImages,912,1,99,10,1,0.098,catch22,0.4343333333333333,0.2558262213995187,0.7729257641921398
MedicalImages,912,1,99,10,1,0.098,rocket,0.4430508474576271,0.2412204437838588,0.8078602620087336
MedicalImages,912,1,99,10,10,0.508,lstm,0.4767865707434053,0.211108153063019,0.6855895196506551
MedicalImages,912,1,99,10,10,0.508,catch22,0.3832797427652733,0.2252355299025454,0.7729257641921398
MedicalImages,912,1,99,10,10,0.508,rocket,0.4563050314465408,0.2410472983411712,0.8078602620087336
MedicalImages,912,1,99,10,2,0.054,lstm,0.4470491803278689,0.243339769628671,0.6855895196506551
MedicalImages,912,1,99,10,2,0.054,catch22,0.5089622641509435,0.2667517015393133,0.7729257641921398
MedicalImages,912,1,99,10,2,0.054,rocket,0.4374509803921569,0.206339175728254,0.8078602620087336
MedicalImages,912,1,99,10,3,0.068,lstm,0.4710377358490566,0.2321959535395839,0.6855895196506551
MedicalImages,912,1,99,10,3,0.068,catch22,0.4867441860465117,0.1727038186544404,0.7729257641921398
MedicalImages,912,1,99,10,3,0.068,rocket,0.5580487804878048,0.2082033423526276,0.8078602620087336
MedicalImages,912,1,99,10,4,0.049,lstm,0.0,0.0,0.6855895196506551
MedicalImages,912,1,99,10,4,0.049,catch22,0.3257142857142857,0.2084082858368212,0.7729257641921398
MedicalImages,912,1,99,10,4,0.049,rocket,0.4960526315789474,0.1912911733964497,0.8078602620087336
MedicalImages,912,1,99,10,5,0.038,lstm,0.4134939759036145,0.220920493439476,0.6855895196506551
MedicalImages,912,1,99,10,5,0.038,catch22,0.3261904761904762,0.2151000400067009,0.7729257641921398
MedicalImages,912,1,99,10,5,0.038,rocket,0.4326548672566371,0.2065391933883575,0.8078602620087336
MedicalImages,912,1,99,10,6,0.021,lstm,0.5537179487179487,0.1705504585411975,0.6855895196506551
MedicalImages,912,1,99,10,6,0.021,catch22,0.561111111111111,0.1785815164699061,0.7729257641921398
MedicalImages,912,1,99,10,6,0.021,rocket,0.5590588235294118,0.1449837599782798,0.8078602620087336
MedicalImages,912,1,99,10,7,0.044,lstm,0.4648958333333333,0.2445446226819123,0.6855895196506551
MedicalImages,912,1,99,10,7,0.044,catch22,0.369125,0.2505703182242462,0.7729257641921398
MedicalImages,912,1,99,10,7,0.044,rocket,0.3899159663865545,0.2046004337145132,0.8078602620087336
MedicalImages,912,1,99,10,8,0.021,lstm,0.0,0.0,0.6855895196506551
