dataset,df_size,n_variates,ts_length,n_classes,class,class_perc,model,mean,std,model_acc
Colposcopy,160,1,180,6,0,0.087,lstm,0.0,0.0,0.375
Colposcopy,160,1,180,6,0,0.087,catch22,0.0,0.0,0.4
Colposcopy,160,1,180,6,0,0.087,rocket,0.0,0.0,0.375
Colposcopy,160,1,180,6,1,0.119,lstm,0.0,0.0,0.375
Colposcopy,160,1,180,6,1,0.119,catch22,0.0,0.0,0.4
Colposcopy,160,1,180,6,1,0.119,rocket,0.0,0.0,0.375
Colposcopy,160,1,180,6,2,0.106,lstm,0.0,0.0,0.375
Colposcopy,160,1,180,6,2,0.106,catch22,0.0,0.0,0.4
Colposcopy,160,1,180,6,2,0.106,rocket,0.0,0.0,0.375
Colposcopy,160,1,180,6,3,0.25,lstm,0.0,0.0,0.375
Colposcopy,160,1,180,6,3,0.25,catch22,0.0,0.0,0.4
Colposcopy,160,1,180,6,3,0.25,rocket,0.0,0.0,0.375
Colposcopy,160,1,180,6,4,0.156,lstm,0.0,0.0,0.375
Colposcopy,160,1,180,6,4,0.156,catch22,0.0,0.0,0.4
Colposcopy,160,1,180,6,4,0.156,rocket,0.0,0.0,0.375
Colposcopy,160,1,180,6,5,0.281,lstm,0.47,0.01999999999999999,0.375
Colposcopy,160,1,180,6,5,0.281,catch22,0.08333333333333333,0.060184900284225955,0.4
Colposcopy,160,1,180,6,5,0.281,rocket,0.596,0.1851053753946654,0.375
EOGHorizontalSignal,579,1,1250,12,1,0.093,lstm,0.0,0.0,0.18620689655172415
EOGHorizontalSignal,579,1,1250,12,1,0.093,catch22,0.33394736842105266,0.22954806254767343,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,1,0.093,rocket,0.4176470588235294,0.19256868634837213,0.896551724137931
EOGHorizontalSignal,579,1,1250,12,10,0.079,lstm,0.0,0.0,0.18620689655172415
EOGHorizontalSignal,579,1,1250,12,10,0.079,catch22,0.29847619047619045,0.17827095991044725,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,10,0.079,rocket,0.3819178082191781,0.2000284742350077,0.896551724137931
EOGHorizontalSignal,579,1,1250,12,11,0.083,lstm,0.7791666666666667,0.08528953954357799,0.18620689655172415
EOGHorizontalSignal,579,1,1250,12,11,0.083,catch22,0.39578125000000003,0.1967652844087023,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,11,0.083,rocket,0.5049397590361446,0.19970082137480874,0.896551724137931
EOGHorizontalSignal,579,1,1250,12,12,0.079,lstm,0.0,0.0,0.18620689655172415
EOGHorizontalSignal,579,1,1250,12,12,0.079,catch22,0.40196078431372556,0.2566451705373962,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,12,0.079,rocket,0.5704580152671757,0.2573465972925338,0.896551724137931
EOGHorizontalSignal,579,1,1250,12,2,0.085,lstm,0.0,0.0,0.18620689655172415
EOGHorizontalSignal,579,1,1250,12,2,0.085,catch22,0.549156626506024,0.2827796827251094,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,2,0.085,rocket,0.6745370370370369,0.21717625654301087,0.896551724137931
EOGHorizontalSignal,579,1,1250,12,3,0.088,lstm,0.0,0.0,0.18620689655172415
EOGHorizontalSignal,579,1,1250,12,3,0.088,catch22,0.36537500000000006,0.20949310102005747,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,3,0.088,rocket,0.4482727272727272,0.1554691380710718,0.896551724137931
EOGHorizontalSignal,579,1,1250,12,4,0.085,lstm,0.0,0.0,0.18620689655172415
EOGHorizontalSignal,579,1,1250,12,4,0.085,catch22,0.35113636363636364,0.2230187100700798,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,4,0.085,rocket,0.4119780219780219,0.1965092049977168,0.896551724137931
EOGHorizontalSignal,579,1,1250,12,5,0.092,lstm,0.0,0.0,0.18620689655172415
EOGHorizontalSignal,579,1,1250,12,5,0.092,catch22,0.33107142857142857,0.18352382651296043,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,5,0.092,rocket,0.4383333333333333,0.22419895392300776,0.896551724137931
EOGHorizontalSignal,579,1,1250,12,6,0.088,lstm,0.0,0.0,0.18620689655172415
EOGHorizontalSignal,579,1,1250,12,6,0.088,catch22,0.24000000000000002,0.16435421409963205,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,6,0.088,rocket,0.34660377358490563,0.21932953922856102,0.896551724137931
EOGHorizontalSignal,579,1,1250,12,7,0.079,lstm,0.2853846153846154,0.11810135051760771,0.18620689655172415
EOGHorizontalSignal,579,1,1250,12,7,0.079,catch22,0.46565891472868215,0.2289200969609716,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,7,0.079,rocket,0.45158730158730154,0.19372598072005232,0.896551724137931
EOGHorizontalSignal,579,1,1250,12,8,0.067,lstm,0.0,0.0,0.18620689655172415
EOGHorizontalSignal,579,1,1250,12,8,0.067,catch22,0.29000000000000004,0.2280465495423466,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,8,0.067,rocket,0.31995614035087716,0.162425415561084,0.896551724137931
EOGHorizontalSignal,579,1,1250,12,9,0.081,lstm,0.0,0.0,0.18620689655172415
EOGHorizontalSignal,579,1,1250,12,9,0.081,catch22,0.3242857142857143,0.20753165482668431,0.7862068965517242
EOGHorizontalSignal,579,1,1250,12,9,0.081,rocket,0.43375,0.2164940819052567,0.896551724137931
EOGVerticalSignal,579,1,1250,12,1,0.093,lstm,0.0,0.0,0.19310344827586207
EOGVerticalSignal,579,1,1250,12,1,0.093,catch22,0.5276315789473685,0.2488122755742857,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,1,0.093,rocket,0.7477631578947368,0.1378175632781339,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,10,0.079,lstm,0.5233333333333333,0.11085526098877262,0.19310344827586207
EOGVerticalSignal,579,1,1250,12,10,0.079,catch22,0.22363636363636363,0.1646910455849612,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,10,0.079,rocket,0.3339310344827586,0.15756026346470667,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,11,0.083,lstm,0.0,0.0,0.19310344827586207
EOGVerticalSignal,579,1,1250,12,11,0.083,catch22,0.2988732394366197,0.24327894669204433,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,11,0.083,rocket,0.42119718309859155,0.1651652283869744,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,12,0.079,lstm,0.0,0.0,0.19310344827586207
EOGVerticalSignal,579,1,1250,12,12,0.079,catch22,0.36142857142857143,0.2227613846885245,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,12,0.079,rocket,0.38496402877697844,0.16747543189615882,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,2,0.085,lstm,0.79,0.0,0.19310344827586207
EOGVerticalSignal,579,1,1250,12,2,0.085,catch22,0.424,0.27551406497672676,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,2,0.085,rocket,0.48578947368421055,0.22188148700412477,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,3,0.088,lstm,0.25,0.0,0.19310344827586207
EOGVerticalSignal,579,1,1250,12,3,0.088,catch22,0.3669230769230769,0.1973952672146363,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,3,0.088,rocket,0.4224489795918368,0.17124431302632134,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,4,0.085,lstm,0.0,0.0,0.19310344827586207
EOGVerticalSignal,579,1,1250,12,4,0.085,catch22,0.32372093023255816,0.20140233083122686,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,4,0.085,rocket,0.4613157894736841,0.18462866078231588,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,5,0.092,lstm,0.03,0.0,0.19310344827586207
EOGVerticalSignal,579,1,1250,12,5,0.092,catch22,0.24722222222222223,0.16592520254471946,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,5,0.092,rocket,0.42072164948453605,0.16525049665493258,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,6,0.088,lstm,0.5166666666666666,0.1108552609887726,0.19310344827586207
EOGVerticalSignal,579,1,1250,12,6,0.088,catch22,0.2851470588235295,0.22513716503408493,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,6,0.088,rocket,0.5469230769230771,0.15793789506709544,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,7,0.079,lstm,0.0,0.0,0.19310344827586207
EOGVerticalSignal,579,1,1250,12,7,0.079,catch22,0.348876404494382,0.23266621799009393,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,7,0.079,rocket,0.49609467455621303,0.2017295407340624,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,8,0.067,lstm,0.0,0.0,0.19310344827586207
EOGVerticalSignal,579,1,1250,12,8,0.067,catch22,0.3137373737373737,0.21529676891261945,0.6620689655172414
EOGVerticalSignal,579,1,1250,12,8,0.067,rocket,0.38434426229508195,0.16396214929521072,0.8275862068965517
EOGVerticalSignal,579,1,1250,12,9,0.081,lstm,0.7000000000000001,0.0,0.19310344827586207
EOGVerticalSignal,579,1,1250,12,9,0.081,catch22,0.289875,0.19331640999925484,0.6620689655172414
