border_perc,shift_val,model,mean,std
0.05,0.5,lsmt,0.585,0.0050000000000000044
0.05,0.5,catch22,0.44999999999999996,0.046904157598234304
0.05,0.5,rocket,0.475,0.00866025403784437
0.05,0.45,lsmt,0.524,0.01019803902718558
0.05,0.45,catch22,0.366,0.019595917942265412
0.05,0.45,rocket,0.4680000000000001,0.007483314773547871
0.05,0.4,lsmt,0.602,0.007483314773547889
0.05,0.4,catch22,0.376,0.016248076809271917
0.05,0.4,rocket,0.488,0.013266499161421596
0.05,0.35,lsmt,0.5775,0.004330127018922149
0.05,0.35,catch22,0.3375,0.04437059837324712
0.05,0.35,rocket,0.4925,0.010897247358851694
0.05,0.3,lsmt,0.5199999999999999,0.008944271909999166
0.05,0.3,catch22,0.35200000000000004,0.013266499161421589
0.05,0.3,rocket,0.48200000000000004,0.014696938456699055
0.05,0.25,lsmt,0.5900000000000001,0.012247448713915856
0.05,0.25,catch22,0.375,0.008660254037844395
0.05,0.25,rocket,0.4725,0.008291561975888482
0.05,0.2,lsmt,0.49399999999999994,0.011999999999999988
0.05,0.2,catch22,0.37,0.016733200530681513
0.05,0.2,rocket,0.462,0.0040000000000000036
0.05,0.15,lsmt,0.554,0.03440930106817049
0.05,0.15,catch22,0.364,0.03878143885933064
0.05,0.15,rocket,0.49399999999999994,0.027276363393971718
0.05,0.1,lsmt,0.4600000000000001,0.018973665961010275
0.05,0.1,catch22,0.27,0.05656854249492382
0.05,0.1,rocket,0.44800000000000006,0.033105890714493685
0.05,0.05,lsmt,0.5740000000000001,0.04498888751680797
0.05,0.05,catch22,0.47400000000000003,0.10091580649234289
0.05,0.05,rocket,0.6,0.050990195135927854
0.05,0.0,lsmt,0.0,0.0
0.05,0.0,catch22,0.41000000000000003,0.0
0.05,0.0,rocket,0.0,0.0
0.1,0.5,lsmt,0.5770000000000001,0.007810249675906612
0.1,0.5,catch22,0.4149999999999999,0.025396850198400586
0.1,0.5,rocket,0.4779999999999999,0.009797958971132698
0.1,0.45,lsmt,0.553,0.01100000000000001
0.1,0.45,catch22,0.4050000000000001,0.006708203932499375
0.1,0.45,rocket,0.48900000000000005,0.005385164807134509
0.1,0.4,lsmt,0.5119999999999999,0.008717797887081356
0.1,0.4,catch22,0.361,0.02165640782770771
0.1,0.4,rocket,0.49000000000000005,0.007745966692414841
0.1,0.35,lsmt,0.5900000000000001,0.006324555320336764
0.1,0.35,catch22,0.35699999999999993,0.0134536240470737
0.1,0.35,rocket,0.492,0.0040000000000000036
0.1,0.3,lsmt,0.53,0.011547005383792526
0.1,0.3,catch22,0.36999999999999994,0.026246692913372706
0.1,0.3,rocket,0.48666666666666664,0.013333333333333326
0.1,0.25,lsmt,0.5630000000000001,0.012688577540449485
0.1,0.25,catch22,0.4720000000000001,0.0708237248385031
0.1,0.25,rocket,0.481,0.009433981132056594
0.1,0.2,lsmt,0.6099999999999999,0.01483239697419134
0.1,0.2,catch22,0.382,0.029597297173897485
0.1,0.2,rocket,0.48,0.022360679774997894
0.1,0.15,lsmt,0.579,0.020223748416156657
0.1,0.15,catch22,0.329,0.03238826948140329
0.1,0.15,rocket,0.484,0.013564659966250527
0.1,0.1,lsmt,0.521,0.046141087980237305
0.1,0.1,catch22,0.335,0.06844705983459043
0.1,0.1,rocket,0.469,0.032388269481403296
0.1,0.05,lsmt,0.49888888888888894,0.10016036524210613
0.1,0.05,catch22,0.16333333333333336,0.06699917080747261
0.1,0.05,rocket,0.37888888888888883,0.15687535352377657
0.1,0.0,lsmt,0.0,0.0
0.1,0.0,catch22,0.09,0.0
0.1,0.0,rocket,0.0,0.0
0.15,0.5,lsmt,0.5666666666666668,0.0094280904158206
0.15,0.5,catch22,0.40733333333333344,0.02815828277592384
0.15,0.5,rocket,0.46333333333333343,0.008692269873603532
0.15,0.45,lsmt,0.6553846153846155,0.008426500884694871
0.15,0.45,catch22,0.4076923076923077,0.012498520622516855
0.15,0.45,rocket,0.46615384615384603,0.010029542161850227
0.15,0.4,lsmt,0.5826666666666667,0.011813363431112882
0.15,0.4,catch22,0.3426666666666666,0.012892719737209141
0.15,0.4,rocket,0.4926666666666668,0.00928559218478942
0.15,0.35,lsmt,0.5700000000000001,0.010327955589886412
0.15,0.35,catch22,0.3633333333333333,0.025473297566057065
0.15,0.35,rocket,0.5046666666666667,0.01024152766382482
0.15,0.3,lsmt,0.48066666666666674,0.008537498983243788
0.15,0.3,catch22,0.36333333333333334,0.012995725793078611
0.15,0.3,rocket,0.48200000000000015,0.008326663997864522
0.15,0.25,lsmt,0.5746666666666668,0.0185711843695788
0.15,0.25,catch22,0.36599999999999994,0.013063945294843605
0.15,0.25,rocket,0.4746666666666666,0.01359738536958075
0.15,0.2,lsmt,0.5920000000000001,0.014696938456699055
0.15,0.2,catch22,0.398,0.03208322510804257
0.15,0.2,rocket,0.4960000000000001,0.015832456116050567
0.15,0.15,lsmt,0.4633333333333333,0.017384539747207065
0.15,0.15,catch22,0.3733333333333333,0.03699849846803095
0.15,0.15,rocket,0.48866666666666664,0.022469732728470283
0.15,0.1,lsmt,0.5013333333333334,0.045294100670568084
0.15,0.1,catch22,0.3906666666666666,0.08274190124853442
0.15,0.1,rocket,0.45999999999999996,0.04351245032554859
0.15,0.05,lsmt,0.46333333333333343,0.040933550488023336
0.15,0.05,catch22,0.34600000000000003,0.17457758542646115
0.15,0.05,rocket,0.4233333333333334,0.04714045207910316
0.15,0.0,lsmt,0.0,0.0
0.15,0.0,catch22,0.56,0.29656365252673833
0.15,0.0,rocket,0.7175,0.12930100540985753
0.2,0.5,lsmt,0.5105555555555555,0.008480187512485424
0.2,0.5,catch22,0.41333333333333333,0.019436506316150994
0.2,0.5,rocket,0.49944444444444447,0.007049209744694185
0.2,0.45,lsmt,0.5922222222222222,0.010304020550550777
0.2,0.45,catch22,0.3794444444444445,0.027582647971792024
0.2,0.45,rocket,0.4683333333333333,0.008975274678557498
0.2,0.4,lsmt,0.5485,0.008529361054615998
0.2,0.4,catch22,0.3375,0.022332711434127295
0.2,0.4,rocket,0.48200000000000004,0.008124038404635952
0.2,0.35,lsmt,0.599,0.013379088160259664
0.2,0.35,catch22,0.346,0.031368774282716234
0.2,0.35,rocket,0.4785000000000001,0.009630680142129098
0.2,0.3,lsmt,0.5615000000000001,0.010136567466356635
0.2,0.3,catch22,0.3765,0.022197972880423113
0.2,0.3,rocket,0.48850000000000005,0.013518505834595768
0.2,0.25,lsmt,0.531,0.020223748416156685
0.2,0.25,catch22,0.4124999999999999,0.05242852277148385
0.2,0.25,rocket,0.46699999999999997,0.021931712199461308
0.2,0.2,lsmt,0.593157894736842,0.010786263964168008
0.2,0.2,catch22,0.37,0.030949874585240324
0.2,0.2,rocket,0.4878947368421052,0.010041465278073116
0.2,0.15,lsmt,0.44588235294117645,0.02766582592071729
0.2,0.15,catch22,0.31058823529411766,0.034889841473733925
0.2,0.15,rocket,0.45411764705882357,0.03255020078178098
0.2,0.1,lsmt,0.4700000000000001,0.03641861872001305
0.2,0.1,catch22,0.37,0.06155870112510925
0.2,0.1,rocket,0.4789473684210526,0.028999952239907183
0.2,0.05,lsmt,0.4580000000000001,0.07061161377563893
0.2,0.05,catch22,0.41500000000000004,0.12293855737273349
0.2,0.05,rocket,0.496,0.10091580649234293
0.2,0.0,lsmt,0.0,0.0
0.2,0.0,catch22,0.44800000000000006,0.3715588782413899
0.2,0.0,rocket,0.5133333333333333,0.18803073034893938
0.25,0.5,lsmt,0.5878260869565216,0.008317881073786526
0.25,0.5,catch22,0.4343478260869566,0.016895094980630826
0.25,0.5,rocket,0.4656521739130436,0.010140785904078778
0.25,0.45,lsmt,0.5428000000000001,0.006645299090334467
0.25,0.45,catch22,0.3784,0.020722934155181793
0.25,0.45,rocket,0.48800000000000004,0.008485281374238568
0.25,0.4,lsmt,0.6195238095238096,0.011741740958036156
0.25,0.4,catch22,0.36571428571428577,0.017063307492541823
0.25,0.4,rocket,0.4695238095238097,0.009988655696858575
0.25,0.35,lsmt,0.4796,0.011482160075525848
0.25,0.35,catch22,0.3448,0.0429064097775612
0.25,0.35,rocket,0.47840000000000005,0.01083697374731524
0.25,0.3,lsmt,0.5429166666666667,0.008887803753208984
0.25,0.3,catch22,0.35666666666666663,0.014624940645653528
0.25,0.3,rocket,0.49416666666666664,0.008620067027323841
0.25,0.25,lsmt,0.5292,0.00976524449258697
0.25,0.25,catch22,0.37520000000000003,0.028582512135919756
0.25,0.25,rocket,0.47080000000000005,0.0119733036376766
0.25,0.2,lsmt,0.5436,0.020372530525194953
0.25,0.2,catch22,0.382,0.023832750575625974
0.25,0.2,rocket,0.4648,0.021930800258996474
0.25,0.15,lsmt,0.48374999999999996,0.022878756522153907
0.25,0.15,catch22,0.35625,0.02658516190158212
0.25,0.15,rocket,0.4633333333333334,0.02357022603955158
0.25,0.1,lsmt,0.5963999999999999,0.0496290237663406
0.25,0.1,catch22,0.35240000000000005,0.0523281950768417
0.25,0.1,rocket,0.45439999999999997,0.0285769137591868
0.25,0.05,lsmt,0.5284,0.08412752225045025
0.25,0.05,catch22,0.4056,0.18607697332018275
0.25,0.05,rocket,0.47839999999999994,0.037489198444351945
0.25,0.0,lsmt,0.0,0.0
0.25,0.0,catch22,0.18000000000000002,0.1879716290649558
0.25,0.0,rocket,0.07,0.0
