shift_val,model,mean,std
0.5,lstm,0.6214999999999999,0.009096702699330134
0.5,catch22,0.6100000000000001,0.025495097567963917
0.5,rocket,0.475,0.021563858652847823
0.45,lstm,0.5165,0.012359207094308287
0.45,catch22,0.615,0.03721558813185678
0.45,rocket,0.5359999999999999,0.03773592452822642
0.4,lstm,0.559,0.007681145747868615
0.4,catch22,0.6099999999999999,0.016124515496597113
0.4,rocket,0.5050000000000001,0.028896366553599787
0.35,lstm,0.6134999999999999,0.012757350822173085
0.35,catch22,0.621,0.03080584360149873
0.35,rocket,0.547,0.022825424421026662
0.3,lstm,0.5345000000000001,0.01687453703068622
0.3,catch22,0.6529999999999999,0.045066617356975
0.3,rocket,0.543,0.05622277118748239
0.25,lstm,0.603,0.02027313493271331
0.25,catch22,0.6155000000000002,0.07781227409605762
0.25,rocket,0.521,0.06464518543557594
0.2,lstm,0.5005,0.01243985530462474
0.2,catch22,0.6435000000000002,0.039783790669065205
0.2,rocket,0.5,0.030822070014844893
0.15,lstm,0.5179999999999999,0.011224972160321835
0.15,catch22,0.5365,0.092535128464816
0.15,rocket,0.4165,0.030540956108150902
0.1,lstm,0.535,0.010246950765959608
0.1,catch22,0.3164285714285714,0.15805094761125707
0.1,rocket,0.4865000000000001,0.02833284313301438
0.05,lstm,0.5254999999999999,0.01116915395184435
0.05,catch22,0.19650000000000004,0.07391041875135061
0.05,rocket,0.5534999999999999,0.030376800358168067
0.0,lstm,0.5299999999999999,0.010488088481701525
0.0,catch22,0.37230769230769234,0.15880098072521448
0.0,rocket,0.5635000000000001,0.020316249653910018
