dataset,df_size,n_variates,ts_length,n_classes,class,class_perc,model,mean,std,model_acc
CinCECGTorso,1136,1,1639,4,1,0.246,lstm,0.5753521126760563,0.13366798247071032,0.9964788732394366
CinCECGTorso,1136,1,1639,4,1,0.246,catch22,0.5706439393939394,0.15025723562347487,0.9788732394366197
CinCECGTorso,1136,1,1639,4,1,0.246,rocket,0.5627464788732394,0.06079455551740972,1.0
CinCECGTorso,1136,1,1639,4,2,0.251,lstm,0.47383802816901405,0.13567147236251728,0.9964788732394366
CinCECGTorso,1136,1,1639,4,2,0.251,catch22,0.4236619718309859,0.13651847562751784,0.9788732394366197
CinCECGTorso,1136,1,1639,4,2,0.251,rocket,0.4826408450704225,0.06719530516267914,1.0
CinCECGTorso,1136,1,1639,4,3,0.259,lstm,0.5242957746478873,0.08541446497647118,0.9964788732394366
CinCECGTorso,1136,1,1639,4,3,0.259,catch22,0.4891843971631205,0.13996342495068978,0.9788732394366197
CinCECGTorso,1136,1,1639,4,3,0.259,rocket,0.5176760563380282,0.06533408718140794,1.0
CinCECGTorso,1136,1,1639,4,4,0.245,lstm,0.4465492957746479,0.10388608180339565,0.9964788732394366
CinCECGTorso,1136,1,1639,4,4,0.245,catch22,0.4169516728624535,0.17716164013442567,0.9788732394366197
CinCECGTorso,1136,1,1639,4,4,0.245,rocket,0.46936619718309863,0.09428914764919569,1.0
ECG200,160,1,96,2,-1,0.338,lstm,0.40655172413793106,0.08103961832589453,0.85
ECG200,160,1,96,2,-1,0.338,catch22,0.33640000000000003,0.126138970980423,0.8
ECG200,160,1,96,2,-1,0.338,rocket,0.3915384615384615,0.12478778830660335,0.95
ECG200,160,1,96,2,1,0.662,lstm,0.633448275862069,0.08103961832589451,0.85
ECG200,160,1,96,2,1,0.662,catch22,0.6136,0.16292034863699503,0.8
ECG200,160,1,96,2,1,0.662,rocket,0.6484615384615385,0.12478778830660335,0.95
ECG5000,4000,1,140,5,1,0.583,lstm,0.3578837555886737,0.1734621375512216,0.956
ECG5000,4000,1,140,5,1,0.583,catch22,0.3382727272727273,0.16433811648222582,0.948
ECG5000,4000,1,140,5,1,0.583,rocket,0.27869080779944294,0.12327229049354821,0.963
ECG5000,4000,1,140,5,2,0.353,lstm,0.20166666666666666,0.2077592089147648,0.956
ECG5000,4000,1,140,5,2,0.353,catch22,0.396,0.260660698993922,0.948
ECG5000,4000,1,140,5,2,0.353,rocket,0.2782258064516129,0.21186212949621794,0.963
ECG5000,4000,1,140,5,3,0.019,lstm,0.8219209039548023,0.11210988588067164,0.956
ECG5000,4000,1,140,5,3,0.019,catch22,0.5334782608695652,0.09799772382681292,0.948
ECG5000,4000,1,140,5,3,0.019,rocket,0.7763035714285714,0.12936968341634333,0.963
ECG5000,4000,1,140,5,4,0.039,lstm,0.695,0.1448620032996921,0.956
ECG5000,4000,1,140,5,4,0.039,catch22,0.285,0.06576473218982952,0.948
ECG5000,4000,1,140,5,4,0.039,rocket,0.7668965517241378,0.23633120313305284,0.963
ECG5000,4000,1,140,5,5,0.005,lstm,0.0,0.0,0.956
