,lsmt,lsmt,catch22,catch22,rocket,rocket
,mean,std,mean,std,mean,std
shift_value,,,,,,
0.5,0.624,0.006633249580710805,0.5694,0.008345058418009999,0.5072000000000001,0.005670978751503135
0.45,0.5134000000000001,0.00815107354892594,0.5722,0.013006152390311252,0.5136,0.010537551897855602
0.4,0.528,0.009165151389911688,0.5841999999999999,0.011847362575695885,0.5362,0.008692525524840301
0.35,0.4962,0.007972452571197906,0.601,0.012688577540449532,0.5036,0.00741889479639657
0.3,0.5644,0.0057131427428342854,0.6342,0.0140128512444827,0.5794,0.009881295461628466
0.25,0.49779999999999996,0.006720119046564583,0.6034,0.02103425777154972,0.4996,0.006916646586316239
0.2,0.5002,0.007068238818828922,0.621,0.02273763400180416,0.54,0.007745966692414842
0.15,0.5178,0.005400000000000005,0.5973999999999999,0.02423303530307337,0.5402000000000001,0.007613146524269718
0.1,0.5187999999999999,0.007386474125047762,0.535,0.04570557952810575,0.5071999999999999,0.008494704232638128
0.05,0.46240000000000003,0.006499230723708773,0.4268085106382978,0.07965634654307409,0.5072000000000001,0.00960000000000001
0.0,0.523,0.005744562646538034,0.2046,0.03710579469570758,0.5658,0.010017983829094537
