,lsmt,lsmt,catch22,catch22,rocket,rocket
,mean,std,mean,std,mean,std
shift_value,,,,,,
0.5,0.5806,0.00988129546162847,0.3628,0.013422369388450007,0.4720000000000001,0.010954451150103309
0.45,0.5528,0.01059056183589898,0.4092,0.01730202300310573,0.4984,0.008569714114251429
0.4,0.556,0.009165151389911683,0.34059999999999996,0.018374982993189407,0.47600000000000003,0.010198039027185557
0.35,0.591,0.010246950765959585,0.35340000000000005,0.024868453912537464,0.4793999999999999,0.011732007500849961
0.3,0.5558000000000001,0.014978651474682225,0.37020000000000003,0.01679166459884189,0.4946,0.016273905493150685
0.25,0.508,0.02332380757938122,0.39740000000000003,0.05538266876920975,0.4811999999999999,0.013362634470792044
0.2,0.5624,0.01903260360539249,0.3917999999999999,0.040184076448264924,0.4642,0.01756018223140067
0.15,0.6288,0.03664096068609556,0.3448,0.03935682914056975,0.4898,0.027458332068791072
0.1,0.5078,0.046359033639626276,0.3998,0.08429685640639276,0.4686,0.04525527593551939
0.05,0.3236,0.06979283630860693,0.335,0.13104579352272241,0.4808,0.059994666429608566
0.0,0.0,0.0,0.30000000000000004,0.05000000000000002,0.35625,0.1278610085209717
